Uniq Id,Product Name,Brand Name,Asin,Category,Upc Ean Code,List Price,Selling Price,Quantity,Model Number,Shipping Weight,Product Dimensions,Image,Sku,Product Url,Stock,Product Details,Dimensions,Color,Ingredients,Direction To Use,Is Amazon Seller,Size Quantity Variant,Product Description
3d63af78f4051d04ff6244e9cd299654,Funko Pop! Games: Persona 5 - The Joker (Styles May Vary),,,,,,$15.45,,37407,4.6 ounces,2.5 x 2.5 x 3.8 inches,https://images-na.ssl-images-amazon.com/images/I/41TFQrt8IpL.jpg,,https://www.amazon.com/Funko-Pop-Games-Persona-Styles/dp/B07KPHPDM9,,,,,,,Y,,
a1793c26a96a83a1544300a431e62902,Klutz Decorate This Journal Toy,,,Toys & Games,,,$16.01,,9781338106374,13.6 ounces,,https://images-na.ssl-images-amazon.com/images/I/61t-EZ%2B7P5L.jpg,,https://www.amazon.com/Klutz-Decorate-This-Journal-Toy/dp/1338106376,,,,,,,Y,,
486702a222224c41f9e243713d03f27a,Random Esoteric Creature Generator for Classic Fantasy Rpgs & Their Modern Simulacra,,,Toys & Games,,,$19.94,,LFP0059,5.6 ounces,,https://images-na.ssl-images-amazon.com/images/I/51oatsxdgAL.jpg,,https://www.amazon.com/Esoteric-Creature-Generator-Classic-Simulacra/dp/9527238269,,,,,,,Y,,
6eedbf9388a4d905870f8fcd20790823,Bachmann Trains Great Northern Gondola,,,Toys & Games,,,$22.38,,,,,https://images-na.ssl-images-amazon.com/images/I/31kzNqRrchL.jpg,,https://www.amazon.com/Bachmann-Trains-Great-Northern-Gondola/dp/B0013K2WV6,,,,,,,Y,,
dbf306088532d98d12f7da924cb4e87b,"Disney's Alice in Wonderland, ""The Hatter's Mad"" Woven Tapestry Throw Blanket, 48"" x 60"", Multi Color",,,Home & Kitchen,,,$35.00,,1AWL/05100/0005/RET,1.64 pounds,,https://images-na.ssl-images-amazon.com/images/I/61cQuMg%2BzRL.jpg,,https://www.amazon.com/Disneys-Wonderland-Hatters-Tapestry-Blanket/dp/B07DR4ZNLF,,,,,,,Y,,
437d953bb394e40c86873504d40e1b44,Pacific Play Tent Agility Dog Training Chute,,,Pet Supplies,,,$37.98,,90001,6.4 pounds,26 x 26 x 3 inches  10.2 ounces,https://images-na.ssl-images-amazon.com/images/I/31OFz0j98cL.jpg,,https://www.amazon.com/Pacific-Play-Tents-90001-Agility/dp/B0012EWUK6,,,,,,,Y,,
e84e6e3a05a6fc610ff155b851fa1713,Barbie Babysitters Inc. Popcorn Set,,,Toys & Games,,,$9.93,,FHY90,5.6 ounces,,https://images-na.ssl-images-amazon.com/images/I/41NtDcWj7SL.jpg,,https://www.amazon.com/Barbie-Babysitters-Inc-Popcorn-Set/dp/B0756J82GW,,,,,,,Y,,
54f37f5ba4be7549cdf4a945bf1bdaad,"Losi Ride Height Gauge, LOSA99173",,,Toys & Games,,,$11.99,,LOSA99173,0.32 ounces,,https://images-na.ssl-images-amazon.com/images/I/31aySv2AslL.jpg,,https://www.amazon.com/Team-Losi-Ride-Height-Gauge/dp/B001IKVO1U,,,,,,,Y,,
4f41e104e3332ef045a90d8a294ffbd5,Melissa & Doug Disney Cinderella Rags to Riches Wooden Magnetic Game With 10 Magnetic Pieces and Wand,,,Toys & Games,,,$11.12,,7189,15.2 ounces,,https://images-na.ssl-images-amazon.com/images/I/61Dh3Liw2dL.jpg,,https://www.amazon.com/Melissa-Doug-Disney-Cinderella-Magnetic/dp/B00P2SL9JG,,,,,,,Y,,
a6c9ec0ff537edf9736f99b3ca993506,VTech Twist and Hug Koala Rattle,,,Toys & Games,,,$7.99,,80-513200,8.5 ounces,,https://images-na.ssl-images-amazon.com/images/I/41rulumRSTL.jpg,,https://www.amazon.com/VTech-Twist-Hug-Koala-Rattle/dp/B07GXMCWT5,,,,,,,Y,,
